source,target
9994008158,9994008158
9668889881,9668889881
8593273,8593273
8353993178,8353993178
7991088348,7991088348
794402493,794402493
7719696,7719696
7519734087,7519734087
736517661,736517661
6500563107,6500563107
62990577559,62990577559
62128921313,62128921313
6193030548,6193030548
614276178,614276178
61025931123,61025931123
6070526880,6070526880
5975184503,5975184503
59141829978,59141829978
5814734277,5814734277
57147710788,57147710788
564889090,564889090
558929861,558929861
547861967,547861967
54338249,54338249
53753262,53753262
50722961,50722961
502192678,502192678
4858599856,4858599856
48214647478,48214647478
47673253,47673253
448810631,448810631
446731754,446731754
445522897,445522897
43947025,43947025
43900320,43900320
436867223,436867223
4347047582,4347047582
4293712500,4293712500
419772996,419772996
417810970,417810970
407859943,407859943
4061198308,4061198308
4041868,4041868
392895400,392895400
392512104,392512104
389794236,389794236
384258859,384258859
379635291,379635291
375922778,375922778
3733571030,3733571030
365041587,365041587
359884127,359884127
357893149,357893149
338563915,338563915
336591838,336591838
3310337742,3310337742
32952871,32952871
3284953947,3284953947
327556509,327556509
3224001335,3224001335
31757289,31757289
3144508144,3144508144
3125963558,3125963558
30464350,30464350
30351199,30351199
303300548,303300548
303054725,303054725
2999431674,2999431674
299273759,299273759
296429969,296429969
295878113,295878113
288092337,288092337
284096448,284096448
282204850,282204850
27672525,27672525
276009712,276009712
271400894,271400894
267217034,267217034
2658966811,2658966811
258039792,258039792
25257911,25257911
251121371,251121371
249350229,249350229
24623570,24623570
23907672,23907672
2367998,2367998
235132850,235132850
23106069335,23106069335
2283310014,2283310014
228290010,228290010
2266831493,2266831493
2237837162,2237837162
22052752,22052752
2203677699,2203677699
214567086,214567086
2110138906,2110138906
2087601760,2087601760
20797329,20797329
206706922,206706922
20554181,20554181
204961070,204961070
200475251,200475251
198936816,198936816
198364230,198364230
1982644399,1982644399
1977344600,1977344600
193201225,193201225
1912355356,1912355356
18864886986,18864886986
183657804,183657804
1808268371,1808268371
177700794,177700794
1755881749,1755881749
1693924911,1693924911
1577461561,1577461561
1562104942,1562104942
15290377,15290377
15185805034,15185805034
1488075577,1488075577
1485227479,1485227479
143927605,143927605
14369412,14369412
1405826469,1405826469
1387392307,1387392307
13758903,13758903
13289052,13289052
1313513528,1313513528
12790857096,12790857096
1136060986,1136060986
10976849,10976849
1090163874,1090163874
1086682633,1086682633
