source,target
1889387,8524856005
2421050,7237779881
4641204,6970394928
6860189,4149522715
7887578,3937501316
9213261,3106833794
9445148,2253953199
10480357,1674464489
13336763,1506607755
16389033,1416718281
19719473,1350666371
20032127,1227831817
173560420,1208832731
186904952,977612377
196378455,930523155
204858171,695995017
232192182,608466556
242638113,550072490
340608496,535065013
426783706,491527077
491527077,426783706
535065013,340608496
550072490,242638113
608466556,232192182
695995017,204858171
930523155,196378455
977612377,186904952
1208832731,173560420
1227831817,20032127
1350666371,19719473
1416718281,16389033
1506607755,13336763
1674464489,10480357
2253953199,9445148
3106833794,9213261
3937501316,7887578
4149522715,6860189
6970394928,4641204
7237779881,2421050
8524856005,1889387
