source,target
977612377,977612377
9445148,9445148
930523155,930523155
9213261,9213261
8524856005,8524856005
7887578,7887578
7237779881,7237779881
6970394928,6970394928
695995017,695995017
6860189,6860189
608466556,608466556
550072490,550072490
535065013,535065013
491527077,491527077
4641204,4641204
426783706,426783706
4149522715,4149522715
3937501316,3937501316
340608496,340608496
3106833794,3106833794
242638113,242638113
2421050,2421050
232192182,232192182
2253953199,2253953199
204858171,204858171
20032127,20032127
19719473,19719473
196378455,196378455
1889387,1889387
186904952,186904952
173560420,173560420
1674464489,1674464489
16389033,16389033
1506607755,1506607755
1416718281,1416718281
1350666371,1350666371
13336763,13336763
1227831817,1227831817
1208832731,1208832731
10480357,10480357
